recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,spend,treatment,cond,random_number
11,1) $0 - $100,53.81,1,0,Urban,1,Phone,No E-Mail,0,0,0,0,FALSE,0.7893562316894531
9,2) $100 - $200,154.15,0,1,Surburban,0,Web,Mens E-Mail,0,0,0,1,FALSE,0.023331202333793044
2,3) $200 - $350,278.8,1,0,Rural,0,Web,Mens E-Mail,0,0,0,1,TRUE,0.47723006503656507
2,4) $350 - $500,428.74,1,0,Rural,0,Phone,Mens E-Mail,0,0,0,1,TRUE,0.7323137386702001
11,3) $200 - $350,228.09,0,1,Surburban,1,Web,No E-Mail,0,0,0,0,FALSE,0.6927315564826131
1,5) $500 - $750,640.58,0,1,Urban,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.4776196221355349
7,1) $0 - $100,84.49,0,1,Urban,1,Web,No E-Mail,0,0,0,0,FALSE,0.4380971072241664
7,3) $200 - $350,235.14,0,1,Urban,1,Phone,Mens E-Mail,0,0,0,1,FALSE,0.24479727703146636
2,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0,1,TRUE,0.07067904714494944
7,3) $200 - $350,272.32,1,0,Surburban,1,Web,Mens E-Mail,0,0,0,1,FALSE,0.09946616017259657
2,1) $0 - $100,95.33,0,1,Surburban,0,Web,No E-Mail,1,0,0,0,TRUE,0.3162717071827501
5,4) $350 - $500,494.26,1,1,Surburban,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.5186342631932348
2,"6) $750 - $1,000",809.07,1,0,Urban,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.6620050764176995
3,2) $100 - $200,101.61,0,1,Surburban,1,Phone,No E-Mail,0,0,0,0,TRUE,0.4068301871884614
8,1) $0 - $100,52.64,0,1,Surburban,1,Web,No E-Mail,0,0,0,0,FALSE,0.9128759242594242
6,4) $350 - $500,466.29,1,0,Urban,1,Multichannel,Mens E-Mail,0,0,0,1,TRUE,0.29360337276011705
3,2) $100 - $200,100.85,1,0,Urban,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.4590657262597233
3,"7) $1,000 +",1397.57,1,0,Surburban,1,Multichannel,Mens E-Mail,0,0,0,1,TRUE,0.3323946741875261
2,"6) $750 - $1,000",770.58,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.6508704670704901
3,"7) $1,000 +",1973.87,1,0,Surburban,1,Multichannel,No E-Mail,0,0,0,0,TRUE,0.2580167807172984
3,2) $100 - $200,133.51,1,0,Urban,0,Web,Mens E-Mail,0,0,0,1,TRUE,0.4785452482756227
11,2) $100 - $200,189.25,0,1,Urban,1,Phone,No E-Mail,0,0,0,0,FALSE,0.08424691436812282
8,1) $0 - $100,66.14,1,0,Surburban,1,Phone,No E-Mail,0,0,0,0,FALSE,0.875321330036968
11,2) $100 - $200,146.04,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0,1,FALSE,0.33907293784432113
12,1) $0 - $100,29.99,0,1,Urban,1,Web,No E-Mail,0,0,0,0,FALSE,0.8394403501879424
9,"7) $1,000 +",1172.42,1,1,Surburban,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.3466834891587496
5,3) $200 - $350,244.34,0,1,Urban,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.3337749307975173
9,2) $100 - $200,151.01,1,0,Surburban,0,Web,No E-Mail,0,0,0,0,FALSE,0.4763512450736016
1,2) $100 - $200,117.27,0,1,Rural,0,Phone,Mens E-Mail,0,0,0,1,TRUE,0.389989543473348
1,2) $100 - $200,110.07,0,1,Urban,0,Web,Mens E-Mail,0,0,0,1,TRUE,0.4346594847738743
2,1) $0 - $100,29.99,0,1,Urban,0,Web,Mens E-Mail,0,0,0,1,TRUE,0.7125146787147969
11,2) $100 - $200,160.04,1,0,Rural,0,Web,Mens E-Mail,0,0,0,1,FALSE,0.399994368897751
1,4) $350 - $500,418.68,0,1,Surburban,0,Web,No E-Mail,0,0,0,0,TRUE,0.3253521518781781
11,3) $200 - $350,316.23,1,0,Urban,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.7570871480274945
9,3) $200 - $350,329.96,0,1,Surburban,1,Phone,No E-Mail,0,0,0,0,TRUE,0.20269225514493883
1,5) $500 - $750,616.73,0,1,Urban,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.12169192102737725
3,3) $200 - $350,249.71,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,TRUE,0.24548851395957172
2,1) $0 - $100,46.09,0,1,Urban,0,Web,No E-Mail,0,0,0,0,TRUE,0.14330437942408025
8,1) $0 - $100,48.87,1,0,Surburban,1,Web,Mens E-Mail,0,0,0,1,FALSE,0.2396294150967151
4,3) $200 - $350,270.24,1,0,Urban,1,Phone,No E-Mail,0,0,0,0,TRUE,0.05893437727354467
9,3) $200 - $350,228.8,1,0,Surburban,0,Multichannel,Mens E-Mail,1,0,0,1,TRUE,0.6422882585320622
3,1) $0 - $100,29.99,1,0,Surburban,0,Phone,Mens E-Mail,0,0,0,1,TRUE,0.7973088258877397
2,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0,1,TRUE,0.45527445361949503
7,3) $200 - $350,229.53,1,0,Surburban,0,Web,Mens E-Mail,1,0,0,1,FALSE,0.4100840820465237
5,1) $0 - $100,29.99,0,1,Surburban,1,Phone,Mens E-Mail,1,0,0,1,TRUE,0.6547239280771464
9,3) $200 - $350,274.29,1,0,Surburban,0,Web,No E-Mail,0,0,0,0,FALSE,0.35319727193564177
1,3) $200 - $350,293.37,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,TRUE,0.2702601458877325
12,1) $0 - $100,29.99,1,0,Urban,1,Phone,No E-Mail,0,0,0,0,FALSE,0.9926840611733496
1,2) $100 - $200,142.4,0,1,Surburban,0,Phone,No E-Mail,0,0,0,0,TRUE,0.2132081352174282
1,1) $0 - $100,29.99,0,1,Urban,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.12937234807759523
12,3) $200 - $350,284.54,1,1,Surburban,0,Web,Mens E-Mail,0,0,0,1,FALSE,0.47811803431250155
4,"7) $1,000 +",1089.77,1,0,Urban,1,Multichannel,Mens E-Mail,0,0,0,1,TRUE,0.59876096714288
1,"6) $750 - $1,000",790.36,1,1,Urban,1,Multichannel,Mens E-Mail,0,0,0,1,TRUE,0.9761706949211657
12,3) $200 - $350,271.89,1,0,Rural,0,Web,Mens E-Mail,0,0,0,1,FALSE,0.35672691208310425
3,1) $0 - $100,39.83,0,1,Urban,1,Phone,Mens E-Mail,1,0,0,1,TRUE,0.43147369055077434
5,3) $200 - $350,269.99,1,1,Surburban,0,Phone,Mens E-Mail,0,0,0,1,TRUE,0.148211560677737
4,3) $200 - $350,292.61,1,0,Surburban,0,Multichannel,No E-Mail,0,0,0,0,TRUE,0.013077575480565429
6,1) $0 - $100,29.99,1,0,Surburban,0,Web,No E-Mail,0,0,0,0,FALSE,0.7155660660937428
9,2) $100 - $200,116.3,1,0,Rural,1,Web,Mens E-Mail,1,0,0,1,FALSE,0.10318423574790359
5,1) $0 - $100,29.99,1,0,Surburban,0,Web,No E-Mail,0,0,0,0,TRUE,0.4462843486107886
1,5) $500 - $750,720.17,1,1,Urban,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.49559357785619795
4,1) $0 - $100,69.08,0,1,Urban,0,Phone,Mens E-Mail,0,0,0,1,TRUE,0.4843495243694633
1,3) $200 - $350,301.19,1,0,Surburban,1,Web,No E-Mail,0,0,0,0,TRUE,0.17344233486801386
10,3) $200 - $350,307.64,0,1,Urban,0,Multichannel,Mens E-Mail,0,0,0,1,TRUE,0.7548209445085377
7,4) $350 - $500,481.56,1,0,Surburban,0,Web,Mens E-Mail,0,0,0,1,TRUE,0.4538954892195761
10,1) $0 - $100,29.99,0,1,Surburban,0,Web,No E-Mail,0,0,0,0,FALSE,0.51116978377103806
5,4) $350 - $500,425.1,1,0,Rural,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.20754511328414083
10,1) $0 - $100,36.28,1,0,Urban,1,Web,No E-Mail,0,0,0,0,FALSE,0.22865814273245633
7,1) $0 - $100,32.42,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,FALSE,0.5957119963131845
1,5) $500 - $750,506.51,1,0,Urban,1,Multichannel,No E-Mail,0,0,0,0,TRUE,0.07706438028253615
8,5) $500 - $750,575.62,1,1,Urban,1,Multichannel,Mens E-Mail,0,0,0,1,TRUE,0.0355405795853585
8,2) $100 - $200,171.88,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,FALSE,0.5609007480088621
8,3) $200 - $350,336.76,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0,1,TRUE,0.6827880786731839
4,1) $0 - $100,52.12,1,0,Urban,0,Phone,Mens E-Mail,0,0,0,1,TRUE,0.23886867775581777
7,4) $350 - $500,406.7,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.25816592667251825
1,2) $100 - $200,181.98,0,1,Urban,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.45257083140313625
5,1) $0 - $100,29.99,0,1,Rural,1,Web,No E-Mail,0,0,0,0,TRUE,0.17512676841579378
6,1) $0 - $100,29.99,0,1,Urban,1,Web,Mens E-Mail,0,0,0,1,FALSE,0.10498764039948583
8,2) $100 - $200,130.31,1,0,Surburban,1,Phone,No E-Mail,0,0,0,0,FALSE,0.864544949028641
3,1) $0 - $100,65.26,1,0,Urban,0,Web,Mens E-Mail,1,0,0,1,TRUE,0.6146449716761708
8,2) $100 - $200,104.94,0,1,Urban,0,Phone,No E-Mail,0,0,0,0,FALSE,0.32877731905318797
7,1) $0 - $100,69.44,1,0,Rural,0,Web,Mens E-Mail,1,0,0,1,FALSE,0.45313144545070827
5,4) $350 - $500,354.03,1,0,Urban,0,Web,Mens E-Mail,0,0,0,1,TRUE,0.18086636113002896
10,2) $100 - $200,151.43,1,0,Urban,0,Web,No E-Mail,0,0,0,0,FALSE,0.5296306028030813
11,2) $100 - $200,120.14,1,0,Urban,0,Web,Mens E-Mail,0,0,0,1,FALSE,0.07527574570849538
5,3) $200 - $350,290.86,1,0,Urban,1,Web,No E-Mail,0,0,0,0,TRUE,0.2777559326495975
11,1) $0 - $100,81.06,1,0,Urban,0,Web,Mens E-Mail,0,0,0,1,FALSE,0.2126995192375034
10,1) $0 - $100,55.11,1,0,Urban,1,Web,Mens E-Mail,0,0,0,1,FALSE,0.28479048097506166
1,5) $500 - $750,513.83,0,1,Surburban,1,Multichannel,Mens E-Mail,0,0,0,1,TRUE,0.8950941029470414
4,"6) $750 - $1,000",770.38,0,1,Rural,1,Multichannel,No E-Mail,0,0,0,0,TRUE,0.44623532332479954
1,1) $0 - $100,33.5,1,0,Surburban,0,Web,Mens E-Mail,0,0,0,1,TRUE,0.7799848897848278
2,1) $0 - $100,56.25,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.8806190348695964
2,"7) $1,000 +",1093.92,1,1,Surburban,1,Web,No E-Mail,0,0,0,0,TRUE,0.4131242095027119
1,"6) $750 - $1,000",752.8,1,1,Urban,1,Phone,No E-Mail,0,0,0,0,TRUE,0.06380848051048815
2,2) $100 - $200,199.95,1,0,Surburban,1,Phone,No E-Mail,0,0,0,0,TRUE,0.33548749168403447
9,3) $200 - $350,239.91,0,1,Rural,0,Phone,No E-Mail,0,0,0,0,FALSE,0.7237259466201067
8,1) $0 - $100,43.16,0,1,Urban,1,Phone,No E-Mail,0,0,0,0,FALSE,0.33761533349752426
3,1) $0 - $100,67.4,1,0,Surburban,0,Web,Mens E-Mail,0,0,0,1,TRUE,0.8406145540066063
7,3) $200 - $350,329.26,0,1,Urban,0,Web,Mens E-Mail,0,0,0,1,TRUE,0.3913592810276896
1,1) $0 - $100,29.99,1,0,Rural,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.3804938856046647
5,1) $0 - $100,39.52,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.8954454259946942
10,4) $350 - $500,375.9,0,1,Urban,0,Web,Mens E-Mail,0,0,0,1,TRUE,0.6053034465294331
9,3) $200 - $350,220.51,1,0,Urban,0,Multichannel,Mens E-Mail,0,0,0,1,TRUE,0.2937301550991833
6,1) $0 - $100,78.69,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0,1,FALSE,0.1912601098883897
1,2) $100 - $200,179.63,1,0,Surburban,0,Phone,Mens E-Mail,1,0,0,1,TRUE,0.5033394857309759
4,3) $200 - $350,320.17,0,1,Urban,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.18919362244196236
1,2) $100 - $200,103.07,1,0,Surburban,0,Web,Mens E-Mail,0,0,0,1,TRUE,0.758103052387014
10,1) $0 - $100,35.84,1,0,Urban,1,Phone,No E-Mail,0,0,0,0,FALSE,0.7244988926686347
2,1) $0 - $100,90.91,1,0,Surburban,0,Web,Mens E-Mail,0,0,0,1,TRUE,0.9437248182948679
10,2) $100 - $200,139.83,1,0,Urban,1,Phone,Mens E-Mail,0,0,0,1,FALSE,0.3889050998259336
10,3) $200 - $350,245.09,1,0,Urban,0,Multichannel,No E-Mail,0,0,0,0,TRUE,0.10087312618270516
6,2) $100 - $200,127.2,0,1,Surburban,0,Phone,No E-Mail,0,0,0,0,FALSE,0.9273020885884762
1,4) $350 - $500,470.65,1,0,Urban,0,Phone,Mens E-Mail,0,0,0,1,TRUE,0.28323250031098723
1,1) $0 - $100,59.13,1,0,Urban,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.5905731588136405
3,3) $200 - $350,327.1,1,0,Surburban,1,Web,No E-Mail,0,0,0,0,TRUE,0.11036060494370759
1,4) $350 - $500,399.72,1,1,Surburban,0,Phone,Mens E-Mail,1,0,0,1,TRUE,0.840507032116875
3,1) $0 - $100,29.99,1,0,Urban,0,Phone,No E-Mail,0,0,0,0,TRUE,0.3179636844433844
4,2) $100 - $200,134.24,0,1,Urban,0,Web,Mens E-Mail,1,0,0,1,TRUE,0.2675082073546946
10,3) $200 - $350,290.55,0,1,Surburban,0,Web,Mens E-Mail,0,0,0,1,FALSE,0.21864528488367796
7,1) $0 - $100,29.99,1,0,Surburban,0,Web,No E-Mail,0,0,0,0,FALSE,0.5167968363966793
4,1) $0 - $100,87.69,1,0,Surburban,0,Web,Mens E-Mail,0,0,0,1,TRUE,0.2689505920279771
12,4) $350 - $500,465.37,0,1,Rural,1,Multichannel,No E-Mail,0,0,0,0,TRUE,0.1811683273408562
4,1) $0 - $100,49.8,1,0,Urban,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.5627829357981682
3,3) $200 - $350,229.42,0,1,Rural,0,Multichannel,No E-Mail,0,0,0,0,TRUE,0.12915685446932912
1,3) $200 - $350,253.18,0,1,Surburban,0,Multichannel,Mens E-Mail,0,0,0,1,TRUE,0.25636760401539505
2,2) $100 - $200,156.4,0,1,Surburban,0,Web,Mens E-Mail,0,0,0,1,TRUE,0.717935275984928
11,2) $100 - $200,140.07,0,1,Urban,1,Web,Mens E-Mail,0,0,0,1,FALSE,0.10014084656722844
10,2) $100 - $200,168.04,1,0,Urban,0,Web,No E-Mail,0,0,0,0,FALSE,0.7632226895075291
3,2) $100 - $200,188.19,1,0,Urban,0,Phone,Mens E-Mail,1,0,0,1,TRUE,0.3082923307083547
10,1) $0 - $100,29.99,0,1,Surburban,0,Web,No E-Mail,1,1,149.28,0,FALSE,0.6495794604998082
1,1) $0 - $100,35.23,1,0,Urban,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.9533554511144757
6,3) $200 - $350,232.94,1,0,Surburban,1,Multichannel,Mens E-Mail,0,0,0,1,TRUE,0.3399792034178972
10,3) $200 - $350,205.88,1,0,Urban,0,Phone,No E-Mail,0,0,0,0,FALSE,0.26247411011718214
1,"7) $1,000 +",1281.48,1,0,Urban,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.1654539331793785
3,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,1,0,0,0,TRUE,0.3221680566202849
3,5) $500 - $750,542.16,1,0,Urban,1,Phone,Mens E-Mail,1,0,0,1,TRUE,0.5101252065505832
6,5) $500 - $750,507.25,0,1,Urban,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.9239684713538736
7,1) $0 - $100,60.02,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0,1,FALSE,0.2576212608255446
1,1) $0 - $100,68.5,0,1,Urban,0,Phone,No E-Mail,0,0,0,0,TRUE,0.04646088695153594
11,1) $0 - $100,37.45,0,1,Urban,0,Phone,No E-Mail,0,0,0,0,FALSE,0.4178562583401799
6,1) $0 - $100,98.8,0,1,Rural,1,Phone,Mens E-Mail,1,0,0,1,FALSE,0.34723067772574723
5,5) $500 - $750,556.5,0,1,Rural,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.1314423205330968
6,2) $100 - $200,136.26,0,1,Rural,1,Web,No E-Mail,0,0,0,0,FALSE,0.37448686454445124
2,3) $200 - $350,203.52,1,1,Urban,1,Multichannel,No E-Mail,1,0,0,0,TRUE,0.39007893367670476
3,1) $0 - $100,99.25,1,0,Surburban,1,Phone,No E-Mail,0,0,0,0,TRUE,0.4296244077850133
5,1) $0 - $100,62.49,1,0,Rural,0,Web,No E-Mail,0,0,0,0,TRUE,0.45272006280720234
4,1) $0 - $100,72.66,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.30644325888715684
10,1) $0 - $100,62.63,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0,1,FALSE,0.14260408212430775
5,3) $200 - $350,283.55,1,0,Urban,1,Phone,No E-Mail,0,0,0,0,TRUE,0.41504762531258166
9,1) $0 - $100,54.34,1,0,Surburban,0,Phone,Mens E-Mail,1,0,0,1,FALSE,0.2109257506672293
5,3) $200 - $350,247.82,1,0,Urban,0,Phone,Mens E-Mail,0,0,0,1,TRUE,0.42875037086196244
11,2) $100 - $200,178.56,1,0,Urban,0,Phone,Mens E-Mail,0,0,0,1,FALSE,0.1326899752020836
2,1) $0 - $100,86.38,1,0,Urban,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.4600964458659291
4,4) $350 - $500,410.86,0,1,Urban,0,Web,No E-Mail,0,0,0,0,TRUE,0.47067849757149816
9,5) $500 - $750,535.17,0,1,Surburban,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.48498968058265746
3,5) $500 - $750,584.63,1,1,Surburban,1,Web,No E-Mail,0,0,0,0,TRUE,0.10880631650798023
1,1) $0 - $100,29.99,1,0,Urban,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.2477268329821527
5,2) $100 - $200,119.47,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,TRUE,0.4985145307146013
7,1) $0 - $100,68.86,0,1,Surburban,0,Phone,No E-Mail,0,0,0,0,FALSE,0.37286670808680356
3,1) $0 - $100,68.81,0,1,Urban,0,Phone,Mens E-Mail,0,0,0,1,TRUE,0.9346913702320307
9,2) $100 - $200,165.62,0,1,Urban,0,Web,No E-Mail,0,0,0,0,FALSE,0.5239860778674483
1,5) $500 - $750,686.08,1,1,Urban,1,Web,No E-Mail,0,0,0,0,TRUE,0.3171446716878563
7,2) $100 - $200,145.89,0,1,Urban,0,Phone,No E-Mail,0,0,0,0,FALSE,0.2779660294763744
7,5) $500 - $750,578.35,0,1,Surburban,1,Web,Mens E-Mail,1,0,0,1,TRUE,0.7024625125341117
7,1) $0 - $100,93.33,1,0,Urban,0,Web,No E-Mail,0,0,0,0,FALSE,0.16502763866446912
5,1) $0 - $100,42.3,0,1,Urban,0,Phone,No E-Mail,0,0,0,0,TRUE,0.06445753877051175
4,4) $350 - $500,474.94,0,1,Urban,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.7547056216280907
6,1) $0 - $100,32.17,1,0,Urban,1,Phone,Mens E-Mail,0,0,0,1,FALSE,0.16957676666788757
1,3) $200 - $350,200.26,1,0,Surburban,0,Multichannel,No E-Mail,0,0,0,0,TRUE,0.06221405230462551
8,"7) $1,000 +",1137.96,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.10902926861308515
9,1) $0 - $100,51.53,1,0,Surburban,1,Phone,No E-Mail,0,0,0,0,FALSE,0.38171635172329843
3,2) $100 - $200,177.36,0,1,Surburban,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.16931091458536685
9,1) $0 - $100,34.75,1,0,Urban,1,Web,No E-Mail,0,0,0,0,FALSE,0.2986525420565158
8,4) $350 - $500,402.84,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,TRUE,0.19220953504554927
1,3) $200 - $350,276.21,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,TRUE,0.2571700213011354
1,"6) $750 - $1,000",960.02,1,1,Rural,1,Web,No E-Mail,1,0,0,0,TRUE,0.18123182281851768
1,2) $100 - $200,100.92,0,1,Urban,1,Web,No E-Mail,0,0,0,0,TRUE,0.47731370967812836
7,3) $200 - $350,348.44,0,1,Surburban,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.770737042883411
11,1) $0 - $100,29.99,0,1,Rural,0,Web,Mens E-Mail,0,0,0,1,FALSE,0.027787122409790754
4,3) $200 - $350,218.92,0,1,Surburban,0,Web,Mens E-Mail,1,0,0,1,TRUE,0.37306337198242545
3,2) $100 - $200,109.34,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0,1,TRUE,0.04795913165435195
2,1) $0 - $100,32.18,1,0,Surburban,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.13862824672833085
7,3) $200 - $350,287.73,1,1,Urban,0,Web,No E-Mail,1,0,0,0,FALSE,0.3214921203907579
4,1) $0 - $100,29.99,0,1,Urban,1,Phone,No E-Mail,0,0,0,0,TRUE,0.15483161131851375
12,1) $0 - $100,98.17,0,1,Surburban,1,Web,No E-Mail,0,0,0,0,FALSE,0.13222817215137184
5,5) $500 - $750,728.99,1,0,Urban,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.22130592772737145
9,4) $350 - $500,483.16,1,1,Urban,0,Phone,Mens E-Mail,1,0,0,1,TRUE,0.2263807961717248
4,1) $0 - $100,93.36,1,0,Surburban,1,Phone,No E-Mail,0,0,0,0,TRUE,0.1314165338408202
9,1) $0 - $100,44.68,1,0,Urban,0,Phone,No E-Mail,0,0,0,0,FALSE,0.32701372681185603
8,2) $100 - $200,167.05,0,1,Urban,0,Phone,No E-Mail,0,0,0,0,FALSE,0.09916910319589078
3,2) $100 - $200,179.31,0,1,Urban,0,Web,No E-Mail,0,0,0,0,TRUE,0.118902558228001
1,3) $200 - $350,290.03,1,1,Urban,0,Web,No E-Mail,1,0,0,0,TRUE,0.050439659506082535
1,1) $0 - $100,89.59,0,1,Surburban,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.9292539197485894
1,3) $200 - $350,248.43,1,0,Surburban,1,Phone,No E-Mail,0,0,0,0,TRUE,0.09485785546712577
3,2) $100 - $200,141.2,0,1,Surburban,1,Phone,No E-Mail,0,0,0,0,TRUE,0.4925961208064109
7,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,0,0,0,0,FALSE,0.4615518406499177
6,2) $100 - $200,113.6,1,0,Surburban,1,Phone,No E-Mail,0,0,0,0,FALSE,0.3752165308687836
9,3) $200 - $350,302.52,1,0,Urban,0,Phone,Mens E-Mail,0,0,0,1,TRUE,0.9910992195364088
3,1) $0 - $100,73.99,0,1,Surburban,0,Phone,No E-Mail,0,0,0,0,TRUE,0.17635071370750666
12,2) $100 - $200,103.6,1,0,Rural,0,Phone,No E-Mail,0,0,0,0,FALSE,0.06844663713127375
1,2) $100 - $200,137.29,0,1,Urban,0,Phone,No E-Mail,0,0,0,0,TRUE,0.40044974675402045
6,2) $100 - $200,114.74,1,0,Urban,0,Web,No E-Mail,1,0,0,0,FALSE,0.1411443257238716
5,1) $0 - $100,29.99,0,1,Urban,0,Web,Mens E-Mail,0,0,0,1,TRUE,0.1933098623994738
1,4) $350 - $500,386.11,1,1,Urban,0,Multichannel,Mens E-Mail,0,0,0,1,TRUE,0.8413517167791724
8,1) $0 - $100,45.78,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,FALSE,0.7199139883741736
